message;severity;node;stamp;location
"Oh no! I hit the wall! (Clamping from [x=2.691874, y=11.117770])";"30";"turtlesim3.sim";"1727057313.284620873";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.622971, y=11.117770])";"30";"turtlesim2.sim";"1727057313.281112374";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.609191, y=11.117770])";"30";"turtlesim1.sim";"1727057313.274468674";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.705654, y=11.117770])";"30";"turtlesim3.sim";"1727057313.267811175";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.636752, y=11.117770])";"30";"turtlesim2.sim";"1727057313.264664675";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.622971, y=11.117770])";"30";"turtlesim1.sim";"1727057313.258996275";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.719435, y=11.117770])";"30";"turtlesim3.sim";"1727057313.251479976";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.650532, y=11.117770])";"30";"turtlesim2.sim";"1727057313.250837476";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.636752, y=11.117770])";"30";"turtlesim1.sim";"1727057313.242990977";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.733215, y=11.117770])";"30";"turtlesim3.sim";"1727057313.236706177";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.664313, y=11.117770])";"30";"turtlesim2.sim";"1727057313.232436177";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.650532, y=11.117770])";"30";"turtlesim1.sim";"1727057313.226331278";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.746996, y=11.117770])";"30";"turtlesim3.sim";"1727057313.220052678";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.678093, y=11.117770])";"30";"turtlesim2.sim";"1727057313.216933679";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.664313, y=11.117770])";"30";"turtlesim1.sim";"1727057313.210896379";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.760777, y=11.117770])";"30";"turtlesim3.sim";"1727057313.204728779";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.691874, y=11.117770])";"30";"turtlesim2.sim";"1727057313.200812680";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.678093, y=11.117770])";"30";"turtlesim1.sim";"1727057313.194473980";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.774557, y=11.117770])";"30";"turtlesim3.sim";"1727057313.188135081";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.705654, y=11.117770])";"30";"turtlesim2.sim";"1727057313.186921981";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.691874, y=11.117770])";"30";"turtlesim1.sim";"1727057313.178870281";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.788338, y=11.117770])";"30";"turtlesim3.sim";"1727057313.173570182";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.719435, y=11.117770])";"30";"turtlesim2.sim";"1727057313.168646282";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.705654, y=11.117770])";"30";"turtlesim1.sim";"1727057313.163170883";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.802118, y=11.117770])";"30";"turtlesim3.sim";"1727057313.156757383";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.733215, y=11.117770])";"30";"turtlesim2.sim";"1727057313.154146083";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.719435, y=11.117770])";"30";"turtlesim1.sim";"1727057313.146778584";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.815899, y=11.117770])";"30";"turtlesim3.sim";"1727057313.142098284";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.746996, y=11.117770])";"30";"turtlesim2.sim";"1727057313.141131484";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.829679, y=11.117770])";"30";"turtlesim3.sim";"1727057313.138818885";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.733215, y=11.117770])";"30";"turtlesim1.sim";"1727057313.130647885";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.760777, y=11.117770])";"30";"turtlesim2.sim";"1727057313.120743486";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.746996, y=11.117770])";"30";"turtlesim1.sim";"1727057313.115172786";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.843460, y=11.117770])";"30";"turtlesim3.sim";"1727057313.107834587";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.774557, y=11.117770])";"30";"turtlesim2.sim";"1727057313.105017087";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.760777, y=11.117770])";"30";"turtlesim1.sim";"1727057313.098991488";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.857240, y=11.117770])";"30";"turtlesim3.sim";"1727057313.093002588";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.788338, y=11.117770])";"30";"turtlesim2.sim";"1727057313.090046188";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.774557, y=11.117770])";"30";"turtlesim1.sim";"1727057313.083399489";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.871021, y=11.117770])";"30";"turtlesim3.sim";"1727057313.076184289";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.802118, y=11.117770])";"30";"turtlesim2.sim";"1727057313.072576790";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.788338, y=11.117770])";"30";"turtlesim1.sim";"1727057313.067239590";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.884801, y=11.117770])";"30";"turtlesim3.sim";"1727057313.060178291";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.815899, y=11.117770])";"30";"turtlesim2.sim";"1727057313.057423091";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.802118, y=11.117770])";"30";"turtlesim1.sim";"1727057313.051198691";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.898582, y=11.089546])";"30";"turtlesim3.sim";"1727057313.043983492";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.829679, y=11.117770])";"30";"turtlesim2.sim";"1727057313.040614192";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.815899, y=11.117770])";"30";"turtlesim1.sim";"1727057313.035538193";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.843460, y=11.117770])";"30";"turtlesim2.sim";"1727057313.024975493";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.829679, y=11.117770])";"30";"turtlesim1.sim";"1727057313.020263994";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.857240, y=11.117770])";"30";"turtlesim2.sim";"1727057313.008380195";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.843460, y=11.117770])";"30";"turtlesim1.sim";"1727057313.002691595";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.871021, y=11.117770])";"30";"turtlesim2.sim";"1727057312.992353896";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.857240, y=11.117770])";"30";"turtlesim1.sim";"1727057312.987183296";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.884801, y=11.117770])";"30";"turtlesim2.sim";"1727057312.976349097";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.871021, y=11.117770])";"30";"turtlesim1.sim";"1727057312.971707198";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.898582, y=11.089546])";"30";"turtlesim2.sim";"1727057312.960615898";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.884801, y=11.117770])";"30";"turtlesim1.sim";"1727057312.954715299";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.898582, y=11.089546])";"30";"turtlesim1.sim";"1727057312.938201200";"./src/turtle.cpp:update:260"
